Y,CustomerID,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,P36,P37,P38,P39,P40,P41,P42,P43,P44,P45,P46,P47,P48,P49,P50,P51,P52,P53,P54,P55,P56,P57,P58,P59,P60,P61,P62,P63,P64,P65,P66,P67,P68,P69,P70,P71,P72,P73,P74,P75,P76,P77,P78,P79,P80,P81,P82,P83,P84,P85,P86,P87,P88,P89,P90,P91,P92,P93,P94,P95,P96,P97,P98,P99,P100
0,14420,911,873,731,158,335,375,236,886,831,403,753,467,928,890,1870,1343,1081,895,527,49,56,257,739,254,349,663,1821,2109,1722,911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,14421,235,322,641,395,184,90,571,129,4,22,1212,16,593,1028,525,1284,725,639,376,259,68,36,22,303,318,4,208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,14423,1,295,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,14424,294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,14427,48,569,534,457,1107,1474,6,363,92,358,272,74,48,268,433,387,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,14431,212,261,58,76,83,1189,740,20,14,24,66,29,2,1750,126,208,300,24,66,1750,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,14434,84,46,67,67,67,84,46,67,84,46,67,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,14436,2288,2123,386,712,2389,1255,1266,647,701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,14437,723,456,20,2241,380,156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,14438,31,367,55,1150,12,3,99,75,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,14439,24,29,740,7,1092,1460,1387,195,1750,2552,220,13,526,307,225,950,736,520,249,296,135,806,678,140,726,209,1193,1216,275,450,1299,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,14440,117,1724,163,139,285,489,1392,1391,980,10,70,26,38,910,1182,132,191,1,980,1391,10,43,602,438,6,345,537,70,116,26,38,193,726,748,1404,562,70,38,26,139,785,163,58,116,26,38,10,748,1404,1651,116,671,726,193,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,14441,1746,2,748,1404,58,166,76,70,1080,1086,559,1098,923,526,288,2502,721,2259,1802,1554,1102,1802,559,1098,559,1098,3356,3357,17,255,187,67,226,54,222,2,58,166,239,362,126,1589,1519,300,1468,874,967,721,1954,476,67,4,288,166,1438,145,226,493,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,14442,43,2552,1898,306,354,1456,176,13,1627,317,816,547,851,1009,232,326,86,805,202,212,1185,713,985,791,427,636,632,577,578,329,329,578,389,1771,1220,571,985,263,427,751,791,453,851,396,368,1439,431,512,777,796,309,1165,538,603,1098,559,163,1796,101,285,1172,2226,496,354,116,230,396,1172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,14443,1145,31,2672,216,500,1201,164,40,13,292,43,149,142,896,186,203,2796,2215,138,1662,298,696,283,1190,429,2221,1755,321,552,3189,947,730,602,116,70,1474,390,1110,92,463,728,742,803,858,1084,1107,1666,432,776,383,16,1846,176,13,1,93,1948,1519,78,390,298,142,965,1493,1409,1805,2348,1382,986,258,390,78,182,1264,797,1067,1215,677,216,197,81,149,97,20,2224,31,445,2305,602,43,13,6,800,420,41,245,39,170,,
0,14447,25,19,240,264,1755,2004,228,276,504,171,273,1051,356,477,80,733,32,128,426,98,18,268,252,694,471,131,387,356,477,273,1719,1315,1754,1433,102,148,1358,1827,590,471,868,1490,916,1407,814,18,420,533,705,117,33,18,197,23,580,683,125,276,228,504,194,394,314,268,252,45,41,638,451,502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,14448,146,1830,44,1064,1150,55,43,572,2576,1479,900,1233,10,2272,1339,16,306,134,1,506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,14450,2257,47,456,117,28,35,863,685,951,61,7,346,3,942,321,1488,289,47,475,138,7,61,574,321,1548,265,184,1197,475,47,1395,729,107,53,1263,196,7,522,574,866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,14452,1140,1560,3103,2991,2300,2697,158,708,783,2084,905,512,324,708,736,577,3079,2300,1560,1732,1583,548,1716,502,451,273,294,526,46,73,1383,2674,2925,88,1072,22,1245,62,1476,1583,1152,1016,905,501,697,600,1099,730,662,748,375,335,1249,1006,773,43,2674,44,44,3,64,378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,14453,1670,2579,966,207,2853,22,965,1335,1011,417,184,2246,2385,2701,1919,2181,1680,107,1196,2606,306,3452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,14457,125,171,151,259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,14459,1114,382,480,796,616,773,717,120,238,60,940,989,624,343,668,100,97,7,21,3056,14,487,630,492,95,209,64,37,3,283,167,25,30,32,85,1035,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,14460,3129,3129,656,484,2550,2080,2651,1449,936,1682,347,919,1111,1628,507,936,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,14463,13,390,1811,165,2,365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,14466,361,201,374,155,1207,808,967,2,152,781,125,171,119,967,2263,2,152,2591,2522,381,428,235,202,21,152,202,1764,967,1166,1213,374,374,1213,202,152,368,21,2,188,120,1213,1166,2,152,188,122,8,1316,125,235,381,651,188,155,967,361,458,1166,319,269,21,202,155,361,929,201,52,305,122,1316,119,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,14467,249,690,1992,206,241,42,846,172,211,157,314,868,394,276,228,232,1992,172,114,234,493,351,634,455,16,297,264,8,119,588,528,69,186,495,425,125,171,262,194,325,159,1155,35,119,159,16,65,2104,581,702,1533,1533,941,622,634,493,1,77,2566,114,1134,1038,1134,1085,171,125,996,297,211,762,42,1472,316,733,634,941,622,1250,542,1151,476,527,211,555,416,473,1155,588,65,42,,,,,,,,,,
0,14470,918,16,115,1622,2383,6,729,349,126,3458,923,950,206,1525,1135,683,1677,703,40,3348,2024,2640,1499,1518,317,226,142,498,7,61,483,1245,1171,1233,1667,1071,382,2340,326,567,12,17,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,14473,208,1806,4,129,535,124,324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,14474,1718,2259,1802,1136,2225,2430,800,529,1172,559,603,329,1225,748,662,2507,84,678,512,1949,142,73,46,806,140,520,1133,792,983,1225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,14475,690,2016,5,43,13,1,10,287,3,2429,2249,285,726,367,842,649,690,5,9,690,1,3,690,842,1126,628,101,12,123,44,10,578,1126,174,1,48,493,62,76,87,239,917,401,44,363,145,1260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,14476,68,300,3210,1,747,648,1311,1311,1789,1245,1483,1623,258,1249,1229,1082,1789,172,952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,14477,136,87,205,64,3,44,87,205,44,136,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,14479,688,813,1,28,35,526,43,452,4,1081,258,300,1519,408,249,512,140,287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,14480,981,320,766,67,409,105,1816,125,54,154,127,562,607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,14481,263,370,355,993,593,981,10,176,1407,1582,79,374,495,367,10,176,1850,687,446,993,522,405,513,875,571,981,207,162,347,370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,14483,740,1189,1427,903,1522,2100,58,769,479,298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,14484,810,390,974,2312,1808,717,773,616,6,1523,1272,467,128,429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,14485,1936,1587,449,47,95,786,352,498,999,790,517,65,119,972,148,248,352,159,1069,2537,190,37,136,2646,1113,175,65,733,272,42,700,133,522,825,391,16,72,888,972,1480,14,437,107,375,92,389,534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,14488,437,1000,137,395,641,322,130,353,387,110,131,45,379,137,254,739,567,897,1059,253,127,661,245,425,154,282,231,1000,377,1018,1175,929,1514,1113,430,159,918,542,264,65,1169,841,885,1508,124,324,745,437,470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,14489,184,107,610,167,392,669,64,44,53,3,12,37,291,500,216,81,149,240,51,85,32,144,19,25,103,9,18,197,5,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,14491,1000,317,223,1455,59,699,647,701,329,796,208,707,1240,444,549,1762,539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,14494,253,327,203,1144,1094,131,1007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,14495,64,246,88,57,112,487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,14496,164,1478,10,142,108,1010,241,279,6,39,118,108,142,585,1009,2,363,520,1478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,14497,1423,909,155,201,327,257,757,491,219,1423,95,66,60,959,1026,348,86,517,2249,806,1056,225,988,13,163,172,116,909,249,343,177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,14500,496,31,431,183,431,2,845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,14501,43,13,101,1803,342,279,6,345,43,20,342,279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,14507,163,309,1456,1056,792,983,826,764,576,565,826,1806,221,407,200,2,1069,111,246,732,17,55,438,629,2123,1824,1908,1,219,615,573,523,448,1028,42,1189,740,439,2950,1659,1244,2313,2298,1522,1677,443,1754,1138,2298,12,1189,448,1407,1903,1824,1908,496,1564,101,79,163,568,621,274,795,1801,565,764,826,576,1492,1750,615,219,55,17,48,12,148,560,118,71,54,200,1667,1457,1,1437,345,6,2319,605,1439,332,207,1673,113,42,,
0,14508,324,65,432,542,2144,35,59,1054,34,495,1214,2047,142,324,2013,467,406,947,492,708,781,114,1239,316,341,1298,124,430,1421,1271,14,2144,1054,96,126,1215,798,937,1437,3,161,277,28,389,70,300,777,36,1953,124,2,297,324,46,73,1713,1637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,14511,616,1976,794,1037,1052,1159,1259,978,1024,277,10,345,6,221,773,717,773,717,616,1630,1715,438,774,650,633,640,644,655,861,1037,1052,2605,342,874,31,947,730,1622,2605,274,794,2013,1322,10,345,6,221,92,564,1273,1107,918,941,817,848,6,345,306,794,1219,1317,1060,40,1052,611,730,2636,2631,537,10,643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,14512,643,31,2671,1418,1158,1409,1321,910,598,883,2016,1898,1948,874,373,598,438,1024,1907,260,883,1898,910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,14513,896,344,123,172,961,518,40,123,518,896,172,961,40,123,1,2215,1426,363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,14514,101,232,1387,368,367,813,1075,118,381,3007,926,1403,1229,100,1244,318,2197,3371,142,168,1749,233,2133,2621,648,585,1,933,792,690,529,231,792,602,465,983,153,529,941,622,848,817,348,1117,602,792,983,1761,377,40,1617,162,404,174,113,8,235,3418,2778,1393,76,83,217,20,879,777,368,1012,693,4,318,4,303,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,14517,101,38,224,909,1182,101,649,485,329,176,102,2,532,1377,118,193,249,795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,14518,42,307,86,409,750,1693,1768,351,207,463,461,174,162,404,6,623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,14520,62,96,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,14522,221,191,1681,365,132,1602,126,1045,1177,671,1829,10,221,540,662,1181,730,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,14523,2694,1180,1629,92,398,2581,1830,2586,2929,2588,1121,1110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,14528,174,162,404,564,843,6,164,92,46,73,1106,857,800,365,1110,738,1554,437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,14532,512,249,366,193,209,126,844,830,140,96,296,678,726,1581,520,830,126,96,140,296,678,806,1525,295,77,1,1903,1407,512,209,830,844,126,807,140,96,296,678,726,916,806,135,520,366,1702,2245,353,816,586,2109,259,8,725,472,447,313,765,204,36,68,732,265,502,435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,14533,2293,2737,1208,183,1074,51,330,138,1510,1950,41,330,378,1567,1475,1208,370,355,865,1197,1722,1781,1197,2162,1420,924,330,8,109,41,733,34,865,80,2239,1208,914,59,294,80,128,965,253,238,673,771,936,375,74,936,294,221,728,766,59,2278,1567,62,430,1647,1964,1548,264,432,677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,14536,388,95,10,388,2,670,2384,2404,232,92,39,578,3414,1456,1907,41,329,190,1746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,14537,895,527,425,276,228,416,473,194,171,590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,14538,947,208,43,221,297,324,457,742,728,124,562,748,274,40,662,264,300,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,14539,294,1946,323,1180,1614,563,402,836,1946,41,130,327,131,254,1158,833,59,1496,766,672,788,514,221,159,1733,834,1197,1698,738,974,325,1102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,14540,1364,410,398,222,294,1745,965,70,116,708,2395,512,142,118,444,183,140,1245,1565,735,369,2037,1880,2015,2,266,95,1455,316,104,294,777,335,595,1139,354,1455,124,794,474,200,1069,512,1695,1243,1404,2734,773,222,195,2784,777,1243,124,410,898,1808,717,222,124,1353,616,450,1777,275,947,730,310,730,310,192,348,429,906,2526,341,,,,,,,,,,,,,,,,,,,,,,,,
0,14542,310,988,183,1096,889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,14548,1,77,77,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,14549,436,10,511,808,453,1289,1136,851,90,3,246,15,44,772,13,43,1072,752,620,579,72,334,7,497,656,4,208,218,163,184,2201,1448,1013,1194,1556,1061,1058,2367,362,217,712,166,77,1,202,1872,118,381,188,1361,1764,517,508,176,2160,2329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,14550,430,432,1064,221,1300,766,1816,1069,1102,625,384,1430,322,1899,113,269,120,8,119,2340,280,897,270,1190,410,800,172,280,800,470,625,436,1515,843,1344,1430,1190,436,1504,270,1498,897,34,26,1344,38,1515,529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,14551,92,390,616,1770,1765,1098,796,559,22,390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,14552,904,10,958,652,604,199,540,346,459,1319,319,269,113,2208,439,873,731,886,27,21,1019,13,114,369,958,345,6,172,1165,1,356,477,622,687,735,250,1182,278,141,526,469,155,950,238,173,109,201,522,391,46,97,343,517,74,19,283,9,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,14555,966,1405,341,1066,1,1,981,2462,385,696,1115,298,4066,3032,1965,1989,308,1160,385,308,1866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,14557,280,324,46,1465,628,1428,1105,14,119,929,65,124,581,816,985,16,46,16,280,65,124,1465,929,324,119,581,14,628,1428,816,985,1105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,14560,401,486,1590,909,153,805,86,7,366,1257,445,126,6,306,306,1797,306,36,1623,2001,1370,1590,7,996,2001,1190,269,113,52,120,60,8,695,1126,628,126,1514,1276,2001,235,52,113,269,60,201,36,235,36,823,86,153,805,744,1550,7,7,401,306,805,1550,1370,1017,1590,306,1550,306,1535,86,1550,306,401,235,153,86,109,109,,,,,,,,,,,,,,,,,,,,,,,,
0,14561,207,1273,1410,77,191,132,1,79,2666,176,1165,529,22,438,687,669,164,1009,114,145,1449,2123,386,1305,858,2289,2035,813,431,445,1011,367,2354,417,392,79,1429,838,162,1106,174,404,1937,921,1350,575,1367,715,1298,1133,16,297,2220,287,622,848,941,207,817,419,461,1617,629,465,351,1496,1592,1516,1651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,14566,44,3,37,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,14567,1287,895,527,425,504,276,228,211,555,416,473,213,194,159,325,224,125,171,590,471,416,1,163,354,396,1359,1001,152,609,389,598,304,256,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,14569,1402,59,2507,680,536,1872,853,792,855,853,792,2212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,14570,156,925,368,1581,2735,1088,1127,2952,884,1843,165,336,31,820,78,823,694,268,252,433,2984,3355,3216,3048,3201,2842,3247,3173,3156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,14576,1626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,14578,656,105,498,189,1669,142,653,1246,3207,3330,1223,1968,409,750,115,2024,67,328,255,54,108,71,226,3648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,14581,962,264,1169,65,885,1169,642,728,742,1309,1087,87,806,378,170,42,763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,14582,260,1350,1364,302,93,2216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,14585,236,158,1807,155,458,1038,1029,1085,1134,666,865,211,375,1113,733,43,1081,1343,292,124,534,324,205,457,280,16,87,437,897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,14586,238,674,1831,1008,1382,355,8,674,1697,586,960,173,109,122,60,238,405,925,446,170,924,925,170,1697,446,8,355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,14589,193,126,366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,14594,1462,1513,1010,1687,193,806,209,390,442,16,65,10,3282,334,3106,659,344,43,13,195,926,1427,2360,1736,817,941,848,728,742,1617,561,1073,2307,195,1420,784,821,23,101,84,2719,296,193,42,1558,84,1110,351,2406,1,476,43,195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,14597,499,1253,62,378,885,264,2455,2721,391,513,244,577,398,390,810,1251,1253,554,1110,1160,2071,755,1073,244,95,124,545,378,2721,2455,62,513,391,570,2078,600,57,91,2121,1104,440,47,13,114,244,283,46,73,1311,2600,577,832,284,253,308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,14598,240,85,136,123,764,576,826,1301,1508,432,124,159,325,524,370,666,1076,2398,353,713,1310,1369,750,409,352,841,264,204,278,291,281,19,33,25,2802,400,619,519,618,199,368,98,9,18,74,25,30,5,87,1121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,14600,590,190,101,402,176,529,38,26,1867,2041,152,2,2550,547,888,10,4,287,2191,135,296,96,512,249,260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,14601,489,2957,792,1335,2033,454,1136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,14603,184,2412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,14608,54,54,115,790,255,67,71,790,115,54,67,71,255,115,67,1529,71,255,189,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,14609,2582,656,2582,656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,14616,220,1613,220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
